Source;Threads;Input;Result;Output
parallel_percentage;8;10x2M;0.420365;ok
parallel_percentage;8;10x5M;0.699878;ok
parallel_percentage;1;10x1M;0.845578;ok
parallel_percentage;1;10x2M;0.861919;ok
parallel_percentage;1;10x5M;0.962535;ok
parallel_percentage;2;10x1M;0.747552;ok
parallel_percentage;2;10x2M;0.778510;ok
parallel_percentage;2;10x5M;0.930537;ok
parallel_percentage;4;10x1M;0.460937;ok
parallel_percentage;4;10x2M;0.535146;ok
parallel_percentage;4;10x5M;0.799310;ok
parallel_percentage;8;10x1M;0.419009;ok
parallel_percentage;8;10x2M;0.398682;ok
parallel_percentage;8;10x5M;0.702956;ok
parallel_percentage;1;10x1M;0.849167;ok
parallel_percentage;1;10x2M;0.862465;ok
parallel_percentage;1;10x5M;0.962601;ok
parallel_percentage;2;10x1M;0.735969;ok
parallel_percentage;2;10x2M;0.767791;ok
parallel_percentage;2;10x5M;0.931182;ok
parallel_percentage;4;10x1M;0.462988;ok
parallel_percentage;4;10x2M;0.528642;ok
parallel_percentage;4;10x5M;0.804948;ok
parallel_percentage;8;10x1M;0.396933;ok
parallel_percentage;8;10x2M;0.372701;ok
parallel_percentage;8;10x5M;0.703350;ok
parallel_percentage;1;10x1M;0.845875;ok
parallel_percentage;1;10x2M;0.862279;ok
parallel_percentage;1;10x5M;0.962735;ok
parallel_percentage;2;10x1M;0.740270;ok
parallel_percentage;2;10x2M;0.772810;ok
parallel_percentage;2;10x5M;0.930577;ok
parallel_percentage;4;10x1M;0.463512;ok
parallel_percentage;4;10x2M;0.527315;ok
parallel_percentage;4;10x5M;0.806264;ok
parallel_percentage;8;10x1M;0.415743;ok
parallel_percentage;8;10x2M;0.377089;ok
parallel_percentage;8;10x5M;0.725851;ok
parallel_percentage;1;10x1M;0.845384;ok
parallel_percentage;1;10x2M;0.862164;ok
parallel_percentage;1;10x5M;0.962559;ok
parallel_percentage;2;10x1M;0.737133;ok
parallel_percentage;2;10x2M;0.767857;ok
parallel_percentage;2;10x5M;0.933217;ok
parallel_percentage;4;10x1M;0.462206;ok
parallel_percentage;4;10x2M;0.529353;ok
parallel_percentage;4;10x5M;0.794643;ok
parallel_percentage;8;10x1M;0.427061;ok
parallel_percentage;8;10x2M;0.392209;ok
parallel_percentage;8;10x5M;0.703693;ok
parallel_percentage;1;10x1M;0.848253;ok
parallel_percentage;1;10x2M;0.861526;ok
parallel_percentage;1;10x5M;0.962842;ok
parallel_percentage;2;10x1M;0.735295;ok
parallel_percentage;2;10x2M;0.772204;ok
parallel_percentage;2;10x5M;0.931053;ok
parallel_percentage;4;10x1M;0.462785;ok
parallel_percentage;4;10x2M;0.532983;ok
parallel_percentage;4;10x5M;0.802383;ok
parallel_percentage;8;10x1M;0.437121;ok
parallel_percentage;8;10x2M;0.396202;ok
parallel_percentage;8;10x5M;0.717731;ok
parallel_percentage;1;10x1M;0.845439;ok
parallel_percentage;1;10x2M;0.862041;ok
parallel_percentage;1;10x5M;0.962697;ok
parallel_percentage;2;10x1M;0.747417;ok
parallel_percentage;2;10x2M;0.777420;ok
parallel_percentage;2;10x5M;0.933446;ok
parallel_percentage;4;10x1M;0.464528;ok
parallel_percentage;4;10x2M;0.530413;ok
parallel_percentage;4;10x5M;0.805787;ok
parallel_percentage;8;10x1M;0.403814;ok
parallel_percentage;8;10x2M;0.379749;ok
parallel_percentage;8;10x5M;0.702452;ok
parallel_percentage;1;10x1M;0.845284;ok
parallel_percentage;1;10x2M;0.861315;ok
parallel_percentage;1;10x5M;0.962856;ok
parallel_percentage;2;10x1M;0.734708;ok
parallel_percentage;2;10x2M;0.765997;ok
parallel_percentage;2;10x5M;0.930092;ok
parallel_percentage;4;10x1M;0.462924;ok
parallel_percentage;4;10x2M;0.514634;ok
parallel_percentage;4;10x5M;0.798569;ok
parallel_percentage;8;10x1M;0.361951;ok
parallel_percentage;8;10x2M;0.356383;ok
parallel_percentage;8;10x5M;0.702001;ok
parallel_percentage;1;10x1M;0.845276;ok
parallel_percentage;1;10x2M;0.861467;ok
parallel_percentage;1;10x5M;0.962647;ok
parallel_percentage;2;10x1M;0.735807;ok
parallel_percentage;2;10x2M;0.766591;ok
parallel_percentage;2;10x5M;0.931002;ok
parallel_percentage;4;10x1M;0.462458;ok
parallel_percentage;4;10x2M;0.528364;ok
